,category,titles,pageids
0,Arts & Entertainment,"['Museum of Art and Digital Entertainment', 'Alchemy in art and entertainment', 'Outline of entertainment', 'Entertainment technology', 'Entertainment', 'List of art mediums', 'Entertainment journalism', 'Entertainment One', 'Fine art', 'Entertainment law', 'S.M. Entertainment', 'List of Sword Art Online episodes', 'Vietnamese art', 'Art', 'JYP Entertainment', 'AC Entertainment', 'Summit Entertainment', 'Laguna College of Art and Design', 'Entertainment during the Great Depression', 'Sony Interactive Entertainment', 'Udon Entertainment', 'Video art', 'Blizzard Entertainment', 'Huka Entertainment', 'Video games as an art form', 'Performance art', 'China Arts and Entertainment Group', 'Marvel Entertainment', 'Contemporary art', 'Gullane Entertainment', 'History of art', 'Entertainment Tonight', 'Endurance art', 'Japanese art', 'Sony BMG Music Entertainment Poland', 'Arts and entertainment in India', 'Educational entertainment', 'Parkwood Entertainment', 'Sword Art Online', 'The Art of Rebellion', 'Entertainment management', 'Splash Entertainment', 'Florida Interactive Entertainment Academy', 'AVN Adult Entertainment Expo', 'Kuju Entertainment', 'Gifted art', 'Art Directors Guild', 'Asian Art Museum (San Francisco)', 'Entertainment in the 16th century', 'Mobile entertainment']","['3941247', '5033062', '10619519', '752', '5923785', '824199', '403966', '4876', '21144027', '63380', '217777', '16093772', '9262', '30740398', '642597', '24624675', '9367761', '15528045', '216003', '8957966', '3720589', '90317', '11505986', '20443993', '416740', '18985263', '48571300', '4759906', '227244', '4661307', '6678594', '36354277', '5145183', '5027882', '31365493', '9988', '35359699', '149281', '2618194', '43970016', '1025398', '13469455', '18449037', '33270508', '2944434', '47818697', '32622', '7763396', '10865932', '14919220']"
1,Arts & Entertainment>Celebrities & Entertainment News,"['Celebrity', 'E! News', 'Yahoo! News', 'All Headline News', 'World Entertainment News Network', 'Entertainment journalism', 'Infotainment', ""I'm a Celebrity...Get Me Out of Here!"", 'Celebrity sex tape', 'Entertainment Tonight', 'Imagery of nude celebrities', 'Scientology and celebrities', 'Monsters and Critics', 'Entertainment Weekly', 'List of celebrities involved with WrestleMania', 'Celebrity worship syndrome', 'Celebrity Big Brother 9', 'Celebrity Page', 'Celebrity branding', 'MTV News (Canada)', 'Artisan Entertainment', 'Celebrity Big Brother 5', 'Celebrity Rehab with Dr. Drew', 'Entertainment.ie', 'Celebrity Big Brother 3', 'ABC News Now', 'DailyFill', 'E!', 'The New Celebrity Apprentice', 'Gossip Center', 'Celebrity Bluff', 'Outline of entertainment', 'Celebrity Bainisteoir', 'News', 'High Hill Entertainment', 'Celebrity Survivor', 'Celebrity Big Brother 6', 'Celebrity Big Brother racism controversy', 'Irwin Entertainment', 'NBA All-Star Celebrity Game', 'Celebrity (album)', 'Merlin Entertainments', ""I'm a Celebrity...Get Me Out of Here! (Australia season 2)"", 'Deco Drive', 'Indus Media Group', 'JYP Entertainment', ""That's Entertainment (TV series)"", 'Liquid News', 'List of programs broadcast by Fox News', 'S.M. Entertainment']","['1930254', '25247526', '706664', '5796', '1271407', '18904433', '6506098', '8145007', '20600357', '32707565', '9282855', '37660398', '40283053', '14508187', '5473050', '3740888', '623515', '5693654', '20931146', '6819772', '528107', '6324832', '10752813', '642597', '541239', '15528045', '10188584', '49189977', '454501', '49276302', '13086761', '5153967', '333003', '25997304', '4759906', '1061101', '18969117', '11210510', '21342406', '9873621', '6512870', '21543715', '20781999', '9988', '4906670', '7675521', '49253031', '18077978', '1560005', '2618194']"
2,Arts & Entertainment>Comics & Animation,"['Filipino cartoon and animation', 'Motion comic', 'Marvel Animation', 'Animation-Comic-Game Hong Kong', 'Warner Bros. Animation', 'History of animation', 'Flash animation', 'Limited animation', 'Traditional animation', 'Chinese animation', 'History of British animation', 'Don Thompson Award', 'Disney Television Animation', 'San Diego Comic-Con', 'Farmageddon (comic strip)', 'History of Canadian animation', 'Animation studio', 'Powerhouse Animation Studios', 'Dengeki Comic Gao!', 'Cinesite Animation', 'Modern animation in the United States', 'Animation studios owned by The Walt Disney Company', 'Animation in the United States during the silent era', 'Daewon Media', 'Mark Arnold (historian)', 'Golden age of American animation', 'Cartoonist', 'Animation in the United States in the television era', 'Digital comic', 'Belgian Comic Strip Center', 'Adult animation', 'UPA (animation studio)', 'Animation Academy', 'Marvel Productions', 'List of animation and graphic art works with LGBT characters', 'Joseph Young, Jr.', 'Original video animation', 'Comic Con India', 'Big Apple Comic Con', 'Karine Charlebois', 'Comic book convention', '20th Century Fox Animation', 'East European Comic Con', 'American comic book', 'Motor City Comic Con', 'Rubber hose animation', 'Salt Lake Comic Con', 'Aardman Animations', 'Spawn: The Animation', 'Marvel Studios']","['3303873', '56256', '1939093', '660940', '3311881', '8491531', '363516', '141958', '4523682', '37890632', '26617811', '10288711', '184579', '2170560', '49332225', '30866688', '49280474', '2785187', '1986096', '1918510', '2157619', '28875875', '38401086', '7487735', '26453753', '1649198', '141957', '16812066', '867929', '323858', '32165078', '35757729', '76973', '53151207', '24718139', '5727147', '1743852', '141959', '21891124', '37599109', '113012', '27343862', '12455222', '40372870', '843158', '12632262', '498464', '108485', '1010164', '1074657']"
3,Arts & Entertainment>Comics & Animation>Anime & Manga,"['Anime', ""Children's anime and manga"", 'Anime and manga fandom', 'Egmont Manga & Anime', 'Glossary of anime and manga', 'Anime convention', 'Monster (manga)', 'Mecha anime and manga', 'Claymore (manga)', 'F (manga)', 'The Seven Deadly Sins (manga)', 'Gangsta (manga)', 'Berserk (manga)', 'Tokko (manga)', 'Shōjo manga', 'Golden Boy (manga)', 'Trigun', 'Emma (manga)', 'Suzuka (manga)', 'Black Cat (manga)', 'Manga', 'Basilisk (manga)', 'Shōnen manga', 'Fake (manga)', 'Inuyasha', 'Kimi to Boku (manga)', 'Soul Eater (manga)', 'Sangokushi (manga)', 'Lolita Anime', 'Slam Dunk (manga)', 'Jormungand (manga)', 'IS (manga)', 'Zipang (manga)', 'Anime News Network', 'Manga Taishō', 'Original English-language manga', 'Freezing (manga)', 'Black Jack (manga)', 'Nana (manga)', 'Space Brothers (manga)', 'Aria (manga)', 'Bleach (anime)', 'The Flowers of Evil (manga)', 'Saki (manga)', 'Dogs (manga)', 'Animerica', 'Erased (manga)', 'Mitsudomoe (manga)', 'Magi: The Labyrinth of Magic', 'Compiler (manga)']","['800', '3971260', '22330602', '2550650', '924661', '2298910', '2591364', '286738', '492207', '253746', '1397721', '1752000', '4301676', '10161690', '12344984', '1930479', '44417580', '21489149', '1151140', '24636418', '47121823', '3127260', '874065', '8235541', '113028', '27574319', '32426436', '14675847', '34163115', '18985', '23194171', '12250739', '28012311', '496013', '495186', '1716070', '21356892', '9336855', '47818693', '28910', '471518', '12511174', '29003909', '2904140', '36824199', '38795355', '5444814', '31241', '3861529', '4949859']"
4,Arts & Entertainment>Comics & Animation>Cartoons,"['Cartoon', 'Cartoon Cartoons', 'What a Cartoon!', 'Cartoon Network', 'Editorial cartoon', 'Cartoon Network (Latin America)', 'Cartoon Network (UK & Ireland)', 'List of programs broadcast by Cartoon Network', 'Cartoon Network (Nordic)', 'Cartoon Network Arabic', 'Cartoon Network (Middle East and Africa)', 'Cartoon Network (Southeast Asia)', 'Cartoon Network (India)', 'Cartoon Network (Philippine)', 'Cartoon pornography', 'Cartoon Network (Australia and New Zealand)', 'Cartoon physics', 'Cartoon Network Too', 'Animated cartoon', 'Bang Cartoon', 'The Cartoon', 'Cartoon Network (Central and Eastern Europe)', 'Cartoon Network Studios', 'USA Cartoon Express', 'List of international Cartoon Network channels', 'Billy Ireland Cartoon Library & Museum', 'List of Cartoon Network video games', 'Jyllands-Posten Muhammad cartoons controversy', 'Cartoon Network (Pakistan)', 'Cartoon Network: Block Party', 'Metro–Goldwyn–Mayer cartoon studio', 'Cartoon Network (France)', 'Cartoon Network (Netherlands)', 'The Big Cartoon DataBase', 'Cartoon Network (South Korea)', 'Cartoon Pizza', 'Cartoon Network (Russia and Southeastern Europe)', 'Cartoon Network (Canada)', 'International Holocaust Cartoon Competition', 'Cartoon All-Stars to the Rescue', 'Cartoon violence', 'Cartoon Orbit', 'Cartoon Network (Germany)', 'Cartoon Network (disambiguation)', 'Cartoon Network (Japan)', 'Iran newspaper cockroach cartoon controversy', 'Saturday-morning cartoon', 'Cartoon Wars Part II', 'Cartoon Network Digital App', 'Cartoon Network (Portugal)']","['36702', '4305747', '22082846', '7165', '1039031', '2313172', '17279743', '10228508', '6856129', '34585031', '31347011', '26674560', '23014073', '16806206', '12639960', '19988955', '26205651', '30600042', '19162627', '18840722', '4793425', '24923625', '19006861', '17189581', '4443957', '5883024', '17054221', '47480927', '39749', '4772143', '4056464', '3637942', '4694623', '538206', '3072072', '26778610', '205534', '6910706', '11731894', '7765099', '27933358', '35937098', '287673', '7444875', '177831', '25045704', '28329621', '1689234', '1048323', '41223418']"
5,Arts & Entertainment>Comics & Animation>Comics,"['Comics', 'Comic book', 'Comic strip', 'Comic Sans', 'San Diego Comic-Con', 'Sonic the Comic', 'American comic book', 'Golden Age of Comic Books', 'Comic book convention', 'The Comic Strip', 'Comic Con', 'Comic book collecting', 'Comic Book Resources', 'Comic Party', 'Shōjo Comic', 'Comic opera', 'Comic Relief USA', 'CoroCoro Comic', 'New York Comic Con', 'Comic Book Guy', 'The Magic Comic', 'Comic book archive', 'Comic relief', 'Silver Age of Comic Books', 'Big Apple Comic Con', 'Free Comic Book Day', 'Last Comic Standing', 'Dengeki Comic Gao!', 'Captain Comic', 'Comic strip formats', 'List of newspaper comic strips', 'Comic Art', 'The Comic Reader', 'Comic Relief', 'James Bond (comic strip)', 'List of comic books', 'Digital comic', 'Comic BomBom', 'Modern Age of Comic Books', 'Bronze Age of Comic Books', 'Frank and Ernest (comic strip)', 'Salt Lake Comic Con', 'Comic Art Convention', 'Microsoft Comic Chat', 'Motion comic', 'Comic novel', 'La Cucaracha (comic strip)', 'Wolverine (comic book)', 'Overstreet Comic Book Price Guide', 'Baltimore Comic-Con']","['660940', '10288711', '2035578', '1558412', '6185217', '3683286', '10942727', '64888', '6221120', '1362445', '843326', '103084', '31712011', '657286', '6231', '6609334', '1181663', '49280474', '631711', '690708', '313034', '5704', '7997317', '145443', '3510572', '1986096', '1918510', '9652150', '776773', '149676', '2046831', '3279379', '429159', '75778', '65918', '360123', '1295181', '21891124', '3885912', '1867989', '40372870', '843158', '3601245', '98279', '526706', '27914963', '247080', '6954734', '3164597', '12137011']"
6,Arts & Entertainment>Entertainment Industry,"['Show business', 'Entertainment industry in India', 'Entertainment Industry Foundation', 'Outline of entertainment', 'Sex industry', 'Entertainment', 'Video game industry', 'Entertainment law', 'Family entertainment center', 'Entertainment journalism', 'Hiding in Hip-Hop: On the Down Low in the Entertainment Industry—from Music to Hollywood', 'Entertainment Merchants Association', 'Outline of industry', 'Media, Entertainment and Arts Alliance', 'XBIZ', 'Emperor Entertainment Group', 'JVC Kenwood Victor Entertainment', 'Entertainment management', 'Entertainment Industries Council', 'Entertainment industry during World War II', 'Entertainment One', 'NOVA Entertainment', 'Music industry', 'Artisan Entertainment', 'Aftermath Entertainment', 'BREIN', '2011 Box Office Entertainment Awards', '2013 Box Office Entertainment Awards', '2014 Box Office Entertainment Awards', '2010 Box Office Entertainment Awards', 'Lifetime Entertainment Services', 'Mobile entertainment', 'Entertainment Weekly', 'Cultural industry', '2008 Box Office Entertainment Awards', '2012 Box Office Entertainment Awards', 'Udon Entertainment', 'LOEN Entertainment', 'ABC Entertainment', 'Entertainment Tonight', 'Film industry', 'C-JeS Entertainment', 'Themed Entertainment Association', 'Entertainment One Films Canada', 'British Phonographic Industry', 'AVN Adult Entertainment Expo', '19 Entertainment', 'Industry', 'Ride Entertainment Group', 'Entertainment Rights']","['24143852', '42849314', '42820253', '42819477', '42814708', '42809197', '42798398', '2772172', '5033062', '529697', '706664', '1281680', '3897803', '38421917', '1152274', '496501', '9262', '11214377', '17675471', '6313394', '30740398', '7247695', '642597', '541239', '34202871', '33727382', '15528045', '216003', '8957966', '2529054', '649481', '52663174', '14543', '2353020', '28539287', '3033144', '2596994', '14919220', '1946204', '584006', '9988', '6587138', '41154636', '20603860', '28226', '2854621', '47818697', '372478', '15289191', '3064129']"
7,Arts & Entertainment>Entertainment Industry>Film & TV Industry,"['Film industry', 'Christian film industry', 'Film industry in Georgia (U.S. state)', 'Screen Nation Film and Television Awards', 'New Zealand film and television awards', 'Entertainment industry in India', 'Dungog Film Festival', 'Irish Film & Television Academy', 'Dubai Film and TV Commission', 'Film industry in Florida', 'TV Parental Guidelines', 'Television film', 'UK Adult Film and Television Awards', 'Food industry', 'State Administration of Press, Publication, Radio, Film and Television', 'The Industry Trust for Intellectual Property Awareness', 'Film industry in Michigan', 'Film industry in Hamilton, Ontario', 'Cinema of Pakistan', 'City of Industry, California', 'Ajax Films', 'National Film and Television School', 'Pornographic film', 'British Academy of Film and Television Arts', 'Abu Dhabi Film Commission', 'Shanghai International Film Festival', 'Cinema of India', 'Indian animation industry', 'Brian Savegar', 'China Film Group Corporation', 'South African Film and Television Awards', 'TV Guide', 'Film producer', 'Chiller (TV channel)', 'Bavaria Film', 'Chandragupta Maurya (TV series)', 'Kung Fu (TV series)', 'Screenwriter', 'Nordisk Film', 'Telugu cinema', 'Surya TV', 'South Australian Film Corporation', 'Television and film in New Jersey', 'Film4', 'Cinema of Canada', 'Cinema of France', 'Lists of science fiction films', 'Creative industries', 'Propeller TV', 'Nash TV']","['41977461', '34980286', '5786446', '20915573', '147943', '31840826', '8885184', '14726371', '22297366', '376435', '10784', '402402', '5181815', '107639', '674483', '51056009', '29160750', '33727382', '611636', '649481', '6657966', '34540973', '8274507', '23563056', '211405', '2437974', '24499451', '8991485', '481521', '27038', '408128', '17861981', '1024421', '238253', '3561374', '12890599', '53016', '11927285', '26075903', '11449159', '3063510', '43801555', '188834', '2260940', '30963535', '164342', '3694504', '23153112', '20265505', '45146782']"
8,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Awards,"['New Zealand film and television awards', 'Screen Nation Film and Television Awards', 'UK Adult Film and Television Awards', 'List of film awards', 'List of awards and nominations received by Fargo', 'MTV Movie & TV Awards', 'Irish Film & Television Academy', 'Dorian Awards', 'South African Film and Television Awards', 'List of accolades received by House', 'Kalasha Awards', 'Broadcast Music, Inc.', 'List of awards and nominations received by Dexter (TV series)', 'Young Artist Award', 'List of awards and nominations received by The Voice (U.S. TV series)', 'British Academy Television Craft Awards', 'List of awards and nominations received by Samantha Who?', 'List of awards and nominations received by Danny Elfman', 'Gold Derby Awards', 'AACTA Awards', 'Jupiter Award (film award)', 'Satellite Awards', 'British Academy Television Awards', '2010 Australian Film Institute Awards', 'Korean Film Awards', 'Kecskemét Animation Film Festival', '9th Youth in Film Awards', 'Independent Spirit Awards', '1st Genie Awards', 'Producers Guild Film Awards', 'Golden Horse Film Festival and Awards', 'British Comedy Awards', 'List of awards and nominations received by Just Shoot Me!', 'Canadian Film Award', 'Pakistan Media Awards', ""Critics' Choice Movie Awards"", 'TV Guide Award', 'Scream Awards', 'List of awards and nominations received by Once Upon a Time', 'Costume Designers Guild', '6th Asian Film Awards', '61st Golden Globe Awards', '42nd Academy Awards', '31st Young Artist Awards', 'List of awards and nominations received by EastEnders', 'Television film', '60th Golden Globe Awards', 'The Comedy Awards', 'List of awards and nominations received by Frasier', 'Screen Awards']","['1625478', '32073911', '26774167', '4361957', '3599975', '3599738', '34545119', '31741039', '2427423', '3019834', '31305314', '625413', '66066', '1629365', '4227415', '28901997', '38398250', '51393854', '429490', '1239235', '8991485', '49000640', '49029333', '34634300', '20541287', '5923073', '21419563', '21758670', '21720983', '48877116', '18490248', '18677525', '35476776', '18566850', '48829024', '405035', '538696', '17861981', '38620723', '30663089', '4301459', '7781589', '12890599', '26075903', '37080681', '164342', '31318195', '20265505', '910914', '3958943']"
9,Arts & Entertainment>Entertainment Industry>Film & TV Industry>Film & TV Production,"['Kemps Film and TV Production Services Handbook', 'Production company', 'China Film Group Corporation', 'Condor Films', 'Micom Film and TV Productions', 'Nordisk Film', 'Calon (TV production company)', 'Production designer', 'Mushi Production', 'Film4 Productions', 'List of production companies owned by the American Broadcasting Company', 'Television film', 'Filmmaking', 'Runaway production', 'Film producer', 'Beaconsfield Film Studios', 'UK Adult Film and Television Awards', 'Rankin/Bass Productions', 'Production I.G', 'Philippe Mounier Marketing Production', 'GMA Films', 'Star Cinema', 'Gorky Film Studio', 'Tatsunoko Production', 'New Zealand film and television awards', 'The Bottle Yard Studios', 'Hammer Film Productions', 'Dubai Film and TV Commission', 'Tsuburaya Productions', 'Ginger Productions', 'Eon Productions', 'Tigon British Film Productions', 'Format Films', 'Sivaji Productions', 'Harvey Films', 'TriBeCa Productions', 'Friday TV', 'Cinema of Norway', 'Film Roman', 'Rajshri Productions', 'New York Production Services', 'Shanghai Film Group Corporation', 'Condor (TV series)', 'This TV', 'State Administration of Press, Publication, Radio, Film and Television', 'King Lear (2008 film)', 'AP Films', 'Keith Wilson (production designer)', 'Wang Film Productions', 'Maipo Film']","['1072002', '18678980', '25149922', '14726371', '8561841', '54206649', '29541714', '51056009', '726979', '689620', '1264809', '211405', '933117', '1558775', '28333714', '10335432', '5535159', '5103318', '181616', '5631187', '23921861', '7757061', '15482039', '35595196', '36808736', '1345914', '31904676', '17861981', '1024421', '40635760', '507431', '1870203', '555539', '6944084', '610635', '8894650', '8600712', '11928916', '2652260', '3063510', '981340', '164342', '43999992', '18653290', '2597914', '4909871', '2040302', '20265505', '2252664', '5709184']"
