,terms,titles,pageids
0,art and entertainment,"['Entertainment technology', 'Entertainment', 'Entertainment journalism', 'Fine art', 'Entertainment law', 'Video art', 'Video games as an art form', 'Contemporary art', 'History of art', 'Endurance art', 'Entertainment management', 'Mobile entertainment', 'Interactive art', 'Entertainment robot', 'Best of Microsoft Entertainment Pack', 'Entertainment Corridor', 'The One Club', 'TLA Entertainment Group', 'Looted art']","['347209', '63380', '16093772', '9262', '23971645', '15528045', '216003', '8957966', '1451221', '3720589', '90317', '18985263', '148121', '7208744', '14919220', '13313526', '10450164', '32622', '7763396']"
1,celebrity and entertainment news,"['Entertainment journalism', 'Celebrity sex tape', 'Scientology and celebrities', 'Celebrity worship syndrome', 'E!', 'Outline of entertainment', 'News', 'Celebrity Juice', 'Entertainment Spotlight', 'Daytime Emmy Award for Outstanding Entertainment News Program', 'Celebrity Poker Showdown', 'Naked News', 'Celebrity photography', 'XBIZ', 'Famous for being famous', 'Syco', 'Gossip columnist', 'Fake news', 'Celebrity Nightmares Decoded', 'Use of Twitter by public figures', 'Creation Entertainment', 'Press Association', 'News satire', 'Junk food news', 'News values', 'Popstar!', 'Have I Got News for You', 'KTLA Morning News']","['19798769', '28870380', '972209', '2722576', '623515', '5693654', '10569801', '53128367', '528107', '6031640', '15528045', '52881503', '9396685', '100065', '142172', '179491', '5631481', '21813', '20781999', '1771987', '505170', '9988', '15851351', '1300449', '4906670', '11981309', '36007133', '15289191']"
2,comic and animation,"['Motion comic', 'History of animation', 'Flash animation', 'Limited animation', 'Traditional animation', 'Disney Television Animation', 'Daewon Media', 'Cartoonist', 'Original video animation', 'Comic book convention', '20th Century Fox Animation', 'Superheroes in animation', 'Model sheet', 'Weekly Comic Book Review', 'Pinscreen animation', 'Mobile comic', 'Stop motion', 'National Cartoon Museum', 'Webcomic', 'The Cartoon Museum', 'Glossary of comics terminology', 'Phoenix Comicon', 'Wildcat Comic Con', 'Comics', 'Cel shading']","['3303873', '184579', '697990', '49280474', '145443', '2785187', '2157619', '1649198', '34586156', '323858', '76973', '8297639', '1163829', '21891124', '19203474', '113012', '21414261', '440571', '27036', '2601614', '4358628', '498464', '161176', '27637290', '38274014']"
3,anime and manga,"['Anime and manga fandom', 'Animerica', 'Manga cafe', 'Elfen Lied', 'Hoshin Engi']","['22330602', '924661', '1027922', '925115', '1024526']"
4,cartoon,"['Cartoon', 'Cartoon pornography', 'Animated cartoon', 'The Big Cartoon DataBase', 'Cartoon violence', 'Gag cartoon', 'Cartoon Network Racing', 'Animated series', 'Weekday cartoon', 'Cartoonist', 'Flash animation', 'Older versions of cartoon characters', 'Cartoonito', 'Legal status of drawn pornography depicting minors', 'Walt Disney Cartoon Classics']","['36702', '235604', '7165', '9345865', '3072072', '26778610', '184579', '7047627', '1649198', '1871594', '21347867', '2183052', '25045704', '3608584', '3677836']"
5,comic,"['Comics', 'Comic book', 'Comic strip', 'Comic book convention', 'Comic book collecting', 'Comic Book Resources', 'Comic opera', 'Comic book archive', 'Comic relief', 'Comic strip formats', 'Motion comic', 'Overstreet Comic Book Price Guide', 'Hulk Comic', 'Comic book death', 'Comic Relief Does Fame Academy', 'Comic fantasy', 'Comic book price guide', 'Comic Seer', 'Cartoonist', 'Glossary of comics terminology', 'Comics artist', 'Webcomic']","['184579', '6221120', '9878828', '37066853', '6231', '6609334', '1181663', '49280474', '1148117', '1868071', '7574', '690708', '313034', '5704', '7997317', '145443', '2215270', '34586156', '2801421', '21891124', '1867989', '161176']"
6,entertainment industry,"['Outline of entertainment', 'Sex industry', 'Entertainment', 'Video game industry', 'Entertainment law', 'Family entertainment center', 'Entertainment journalism', 'Entertainment Merchants Association', 'Entertainment management', 'Entertainment industry during World War II', 'Music industry', 'Cultural industry', 'Mobile entertainment', 'ABC Entertainment', 'Film industry', 'Industry', 'E!', 'Quaternary sector of the economy', 'Acclaim Entertainment', 'Computer Entertainment Rating Organization', 'PolyGram Entertainment', 'Mystic Entertainment', 'GfK Entertainment Charts', 'STDs in the porn industry', 'Lionsgate Home Entertainment', 'Light industry', 'Cavedog Entertainment', 'Commonwealth United Entertainment', 'Hokkien entertainment media', 'Gaiam Vivendi Entertainment']","['2772172', '311490', '305598', '37085569', '1752591', '1152274', '528107', '9262', '6313394', '34202871', '15528045', '216003', '8957966', '2529054', '649481', '24620905', '6170448', '52625181', '14543', '1659180', '2772473', '14919220', '1946204', '42291975', '9988', '692891', '602616', '25467671', '20603860', '372478']"
7,film and TV industry,"['Film industry', 'TV Parental Guidelines', 'Television film', 'Food industry', 'TV Guide', 'Film distributor', 'Panafrican Film and Television Festival of Ouagadougou', 'Star Maa', 'Film promotion', 'Television', 'Short film', 'Film criticism', 'Music industry', 'The Bottle Yard Studios', 'TV Land', 'Sponsored film', 'StoryBoard Quick']","['11065202', '1870213', '649481', '20460', '2437974', '1946204', '1830664', '498104', '11438604', '11580743', '21272531', '188834', '783778', '2260940', '29831', '164342', '43999992']"
8,film and TV award,"['Television film', 'PMPC Star Awards for Television', '25th Academy Awards', 'Udaya Film Awards', 'CAMIE Awards']","['1625017', '17928876', '29350604', '164342', '33892348']"
9,film and TV production,"['Kemps Film and TV Production Services Handbook', 'Production designer', 'Television film', 'Filmmaking', 'Film producer', 'The Bottle Yard Studios', 'Tsuburaya Productions', 'Television studio', 'Universal Television', 'Video production', 'Film still', 'DVD TV', 'National Film and Television School', 'Television program', 'Tiger Aspect Productions', 'Back to back film production', 'Television crew', 'Nu Boyana Film Studios', 'Playboy TV', 'Short film', 'Film finance']","['22428249', '21275172', '4447666', '211405', '5653527', '933117', '7757061', '408128', '6437494', '2447607', '555539', '498104', '2350364', '164342', '19508643', '1555089', '43999992', '1800164', '2040302', '959389', '1553972']"
10,recording industry,"['Recording studio', 'International Federation of the Phonographic Industry', 'Sound recording and reproduction', 'Home recording', 'Bootleg recording', 'Cue Recording Studios', 'Audio mastering', 'Promotional recording', 'Tape recorder', 'Video game industry', 'Comparison of analog and digital recording', 'Optical recording', 'Sex industry', 'Record label']","['254878', '1488043', '156859', '24688207', '2458121', '180086', '21997403', '2604089', '147101', '234751', '20603860', '2417230', '70912', '372478']"
11,music award,"['Soul Train Music Awards', 'CMT Music Awards', 'Country Music Association Awards', 'Mnet Asian Music Award for Best Music Video', 'MTV Pilipinas Music Award', 'Soul Train Music Award for Best Video of the Year', 'MTV Video Music Award for Video of the Year', 'MTV Video Music Award for Best Visual Effects']","['16942396', '1666748', '12747554', '477230', '476903', '43085258', '6186050', '2178155']"
12,record label,"['Record label', 'Independent record label', 'Universal Records (defunct record label)', 'Orange Record Label', 'Tower Records (record label)', 'Prelude Records (record label)', 'XO (record label)', 'Capri Records (Jazz record label)', 'Zone 4 (record label)', 'Amiga (record label)', 'Music for Pleasure (record label)', 'Vanity label', ""Spinnin' Records"", 'Orlando (record label)', 'Tri Angle (record label)', 'The Amazing Kornyfone Record Label', 'Hypnos (record label)', 'Naxos Records', 'Label Fandango', 'RCA/Jive Label Group', 'Charisma Records', 'Spin Records (American label)', 'The Leaf Label', 'Spool (record label)', 'ECM Records', 'Buddah Records', 'List of record labels from Bristol', 'No Limit Records', 'List of record labels: A–H', 'The Echo Label']","['1042179', '950503', '42236162', '1002741', '452570', '3381784', '47863329', '19419828', '7998592', '25862283', '4131054', '587055', '47757908', '2300550', '22920913', '10035180', '6461124', '147101', '34755515', '21655829', '33867447', '2915073', '2181103', '4657085', '4745489', '43591960', '1184481', '1021269', '49438034', '12945795']"
13,event and listing,"['Discrete event simulation', 'Extinction event', 'Media event', '8.2 kiloyear event', 'DOM events', 'Quick time event', 'Impact event', 'Solar particle event', 'Transient astronomical event', 'Security event manager', 'Track and field', 'Cleaning event', 'Library event planning', 'World Series of Poker Circuit']","['12720946', '23230510', '1507852', '5920634', '9813', '63794', '24942333', '5329685', '12114439', '3169520', '38180478', '194904', '19376406', '4263384']"
14,"bars, club and nightlife","['Nightlife', 'Host and hostess clubs', 'Nightclub', 'Pregaming', 'Nightset', 'Stelios Papathemelis', 'Paceville', 'Popular entertainment in Brisbane', 'Pub crawl', 'Tourism in the Czech Republic', 'Division Street', 'Corral de Bustos', 'Tribe Magazine', 'Ibiza', 'Magaluf', 'Downtown Dayton', 'Jesmond']","['29830323', '2121606', '24208335', '3223216', '63624', '17373943', '4603840', '19321330', '951578', '53432677', '1787532', '3767962', '37158269', '387697', '11585479', '159095', '5001288']"
15,concert and music festival,"['Concert', 'Music festival', 'Music venue', 'Norfolk Chamber Music Festival', 'Rock festival', 'Cabrillo Festival of Contemporary Music', 'Festival of New Trumpet Music', 'Free festival', 'Ozark Music Festival', 'VELD Music Festival', 'Ottawa Chamberfest', 'Virgin Festival', 'Madras Music Season', 'Marrowstone Music Festival', 'Concert band', 'Concerts at Knebworth House', 'Montreal Festivals', 'Beigang International Music Festival', 'NPR Music', 'Abu Ghosh Vocal Music Festival', 'Amfiteatrof Music Festival', 'RNZ Concert', 'Erie Canal Soda Pop Festival']","['51046091', '51046556', '21947905', '39139961', '236918', '312722', '5327182', '2539480', '12753434', '2457622', '1638423', '50702120', '26868834', '7504750', '2409546', '18997072', '33668409', '4026969', '3407395', '953975', '306611', '54440806', '5778215']"
16,event ticket sale,"['Ticket resale', 'Ticketmaster', 'Ticket Galaxy', 'ShowClix', 'Ticket Liquidator', 'Internet fraud', 'Resident Advisor', 'ScoreBig', 'Raffle', 'TicketIQ', 'WWE Judgment Day', 'Vendini', 'Ticketscript', 'Classictic', 'ComcastTIX', 'Cosplay Mania', 'Bookitbee', 'Showcase Cinemas', 'UFC 110', 'Fringe theatre', 'Seatwave', 'Tour promoter', 'Entertainment tax', 'Matzo Ball', 'Viagogo', 'Front of house', 'Live 8', 'Radius clause', 'SeatGeek', 'To Party Arhizei']","['50530102', '21118929', '18364066', '30637859', '2427108', '619315', '1778112', '805626', '1966881', '25126575', '43136637', '1047873', '30865731', '30761936', '26235878', '19158981', '41990884', '3339311', '40182131', '54421643', '41317329', '1676368', '545768', '49597978', '18147509', '3320842', '24427022', '44600069', '6593757', '595353']"
17,expo and convention,"['History of the Electronic Entertainment Expo', 'Small Press Expo', 'Amusement Expo', 'Expo Square Pavilion', 'Classic Gaming Expo', 'Licensing International Expo', 'Bureau International des Expositions', 'Tehran Game Convention', 'OKC Oilfield Expo', 'Furry convention', 'AnimeCon']","['31300340', '9344525', '100488', '44067812', '3517572', '4748320', '5417173', '5952493', '41268746', '2820135', '53795075']"
18,film festival,"['Film festival', 'Sundance Film Festival', 'Cannes Film Festival', 'Berlin International Film Festival', 'Tribeca Film Festival', 'Toronto International Film Festival', 'Fajr International Film Festival', 'Sitges Film Festival', 'Venice Film Festival', 'Montreal World Film Festival', 'International Film Festival Rotterdam', 'Shanghai International Film Festival', 'Zlín Film Festival', 'Los Angeles Film Festival', 'Torino Film Festival', 'Atlanta Film Festival', 'Denver Film Festival', 'Fantasia International Film Festival', 'Gothenburg Film Festival', 'BFI London Film Festival', 'Thessaloniki International Film Festival', 'Leeds International Film Festival', 'International Film Festival of Kerala', 'Sarajevo Film Festival', 'Cardiff Film Festival', 'African Film Festival of Cordoba', '2007 Sundance Film Festival', 'Champs-Élysées Film Festival', 'San Sebastián International Film Festival', 'Dungog Film Festival']","['8619101', '34933004', '17063077', '5007400', '18948039', '101460', '3120494', '42207688', '13546935', '29160750', '4082946', '2364505', '10781', '4129014', '445950', '6525047', '6036256', '2184313', '2516260', '7725400', '751330', '11927285', '2192206', '23943448', '3064835', '27752058', '178751', '2168341', '32497', '20015034']"
19,food and beverage event,"['Flaming beverage', 'Sweetened beverage', 'Food festival', 'Food marketing', 'Culinary tourism', 'Beverage function', 'FDA Food Safety Modernization Act', 'Food frequency questionnaire', 'Gourmet', 'Food and drink prohibitions', 'Egg cream', 'Food waste', 'Sioux Falls Jazz and Blues Festival', 'Food policy', 'Supplemental Nutrition Assistance Program', 'Tailgate party', 'Energy drink', 'Emirati cuisine', 'Restaurant', 'Aftertaste', 'Kosherfest', 'Kempenfest', 'Center for Science in the Public Interest', 'Ital', 'Sattvic diet', 'Drinking establishment', 'Festival', 'Cathay Cineleisure Orchard', 'University College Birmingham', 'Borgata']","['2121098', '2227304', '1353815', '3576143', '1860654', '13683732', '18400836', '477294', '19542544', '367453', '29072952', '67500', '8653966', '2401051', '1452576', '23388403', '8788317', '3766266', '7757190', '1241465', '155687', '44893979', '48195441', '26437', '11003581', '11362480', '659087', '39164260', '1864870', '2684564']"
20,live sporting event,"['Broadcasting of sports events', 'Sporting clays', 'Live television', '5 live Sport', 'Music at sporting events', 'The NEON', 'Xbox Live', 'Anschutz Entertainment Group', 'Echo Arena Liverpool', 'Animals in sport', 'Park Live', 'Television timeout', 'Eurosport 1', 'Shoulder programming', 'Horncastle Arena', 'Presenter', 'Comerica Theatre', 'Sportsround', 'Sport 360', 'Courtsiding', 'ESPN on ABC', 'Ziggo Sport Totaal', 'Europride', 'Thundersticks', 'NTV Spor', 'Arena Zagreb', 'The Best Damn Sports Show Period', 'Commonwealth Games', 'Pink Festival', 'Astro SuperSport']","['11328801', '5845673', '1049165', '6295682', '25381641', '3182739', '7433145', '39173', '41684708', '1677625', '8120844', '1872793', '48544488', '4126777', '538871', '2121727', '24418144', '40138257', '17988896', '161316', '45532955', '29246309', '768417', '2679560', '7039104', '1671467', '8636773', '10837569', '881586', '12219875']"
21,movie listing and theater showtime,"['Movie theater', 'The ABC Sunday Night Movie', 'Flash animation', 'Pay television', 'National CineMedia', 'SuperTV', 'CBS Films']","['23211895', '1649198', '77819', '3445931', '661989', '3766344', '1020586']"
