,pageids,terms,titles,terRms
0,"['18769343', '14449632', '11956390', '314696', '8774042', '2118246', '80381', '11038718', '361308', '12372971', '261925', '21021107', '265753', '2459566', '1810614', '351581', '36094374', '19565233', '490201', '6635442', '545525', '8695082', '6142110', '1465997', '3616449', '8053575', '990505', '6134342', '455909', '35319154', '4682876', '463734', '9819863', '2159778', '3875331', '311822', '10120909', '570661', '17612272', '33583', '1129641', '32890301', '3585815']",,"['Health', 'Public health', 'Health education', 'Health policy', 'Health professional', 'Health care', 'Health insurance', 'Health economics', 'Health physics', 'Reproductive health', 'Universal health care', 'World Health Organization', 'Health psychology', 'Health equity', 'Mental health', 'Health communication', 'Health administration', 'Race and health', 'Professional degrees of public health', 'Occupational safety and health', 'Health informatics', 'Maternal health', 'Social determinants of health', 'Environmental health', 'Global health', 'Health and Safety Executive', 'Academic health science centre', 'Environmental health officer', 'Mental health professional', 'National Institute of Mental Health', 'Dental public health', 'Health law', 'Health information technology', 'Health visitor', 'UCLA School of Public Health', 'Health information on Wikipedia', 'Environmental Health Perspectives', 'Substance Abuse and Mental Health Services Administration', 'Workplace health surveillance', 'Health belief model', 'Health crisis', 'Electronic health record', 'Health effects of tobacco']",Health
1,"['45521144', '9659164', '56566', '44472220', '8857878', '436824', '52805859', '2848980', '229060', '1099391', '1364342']",,"['Gerontology', 'Gerontological nursing', 'Old age', 'Aging in dogs', 'Aging and society', 'Strategies for Engineered Negligible Senescence', 'Food choice of older adults', 'Neuroscience of aging', 'Chronobiology', 'Polypharmacy', 'Nurse practitioner']",Aging and Geriatrics
2,"['2383', '28353714', '41706076', '18914017', '29850197', '15360893', '16507549', '18704809', '1958222', '1961275', '4355150', '27824553', '25340705', '4623078', '227183', '7201415', '52582981', '38390', '227167', '730754', '18925064', '41120978', '42295022', '37972292', '1276102', '50662306', '11711372', '382395', '11431500', '4464817', '2374961', '36910279', '22228064', '1731868', '2837485', '17275189', '7732070', '21198129', '4137889', '227181', '15824969', '41116283', '4482452', '1057666', '17530866', '46685051', '1214927', '51755836', '38931787', '47878', '51596', '491887', '53555799', '1289426', '3452485', '11341514', '6780123', '28793194', '14194866', '50492922', '30864303', '2218004', '1705007', '49990541', '37130699', '30751653']",,"[""Alzheimer's disease"", ""Early-onset Alzheimer's disease"", ""Alzheimer's disease research"", ""Biochemistry of Alzheimer's disease"", ""Alzheimer's Disease Neuroimaging Initiative"", ""Alzheimer's disease in the media"", 'Alois Alzheimer', ""Pick's disease"", ""Alzheimer's disease biomarkers"", ""Cell-Cycle Hypothesis of Alzheimer's Disease"", ""Alzheimer's Drug Discovery Foundation"", ""Binswanger's disease"", 'Neurodegeneration', ""Ion channel hypothesis of Alzheimer's disease"", 'Dementia with Lewy bodies', 'Donepezil', 'Lifestyle disease', 'Mild cognitive impairment', 'Amyloid beta', 'Neurofibrillary tangle', 'Latrepirdine', 'Pittsburgh compound B', 'Beta-secretase 1', 'Alzheimer type II astrocyte', 'Oskar Fischer', 'Solanezumab', 'Avid Radiopharmaceuticals', 'Axona', 'Tauopathy', 'Posterior cortical atrophy', 'Amyloid precursor protein', ""Parkinson's disease"", 'Estrogen and neurodegenerative diseases', 'Hazel Hawke', 'Apolipoprotein E', 'Florbetapir (18F)', 'Dementia', 'Florbetaben (18F)', 'Presenilin', 'Vascular dementia', 'Memory disorder', 'Memantine', ""Pathophysiology of Parkinson's disease"", 'Epigenetics of neurodegenerative diseases', 'Giulio Maria Pasinetti', 'Non-communicable disease', 'Senile plaques', 'William K. Summers', 'Michael Mullan', 'Cholinergic neuron', 'Visual selective attention in dementia', 'Galantamine', 'Ecological study', 'Inositol trisphosphate', 'PSEN2', 'PBT2', 'Caring for people with dementia', 'Tau protein', ""Huntington's disease"", 'Cognitive reserve', 'Dementia pugilistica', 'Lewy body', 'Rivastigmine', 'Li-Huei Tsai', 'Humanin', 'Vitamin D and neurology']",Alzheimer's Disease
3,"['1805', '4276168', '25611728', '2106968', '7738', '18384766', '321668', '7022218', '6386724', '439973', '627246', '326490', '17644', '240749', '29884658', '18957', '2106879', '38859012', '21147', '2795105', '68819', '327995', '3987292', '74591', '2652481', '180121', '592949', '21556371', '879168', '13540478', '456728', '16562840', '41669573', '10896069', '26451793', '457857', '3437639', '14457458']",,"['Naturopathy', 'Traditional medicine', 'History of alternative medicine', 'Medicine', 'Traditional African medicine', 'Orthomolecular medicine', 'Medicine in the medieval Islamic world', 'Natural News', 'Complementary and Natural Healthcare Council', 'Augmentative and alternative communication', 'Natural skin care', 'Personalized medicine', 'Herbalism', 'Osteopathy', 'Reflexology', 'Natural selection', 'Osteopathic manipulation', 'Aromatherapy', 'Chiropractic', 'University of Pittsburgh School of Dental Medicine', 'Health freedom movement', 'Women in medicine', 'Hyperbaric medicine', 'MEDLINE', 'Quackwatch', 'Applied kinesiology', 'Radionics', 'Ethnoveterinary medicine', 'Pharmacognosy', 'Regulation and prevalence of homeopathy', 'Qigong', 'Pharmaceutical drug', 'Lemon balm', 'Antibiotics', 'Rhetoric of health and medicine', 'Curcumin', 'MIRA procedure', 'Saw palmetto extract']",Alternative and Natural Medicine
4,"['1537', '6090423', '1543389', '64196', '17232632', '26860858', '5819711', '7236219', '940046', '1059396', '6913403', '7022218', '40348869', '19667544', '13796609', '9311753', '1107511', '32125696', '1773270', '7246663', '401926', '4967925', '5916377', '68819', '9112908', '25217', '212698', '15604083', '9801143', '21487084', '631116', '37062228', '52289259', '5992', '1167614', '3575924', '33896833', '11262625', '6459']",,"['Acupuncture', 'Traditional Chinese medicine', 'Veterinary acupuncture', 'Texas Health and Science University', 'Regulation of acupuncture', 'Traditional Korean medicine', 'Urban acupuncture', 'Jiangxi University of Traditional Chinese Medicine', 'Shandong University of Traditional Chinese Medicine', 'National University of Natural Medicine', 'Northwestern Health Sciences University', 'Kampo', 'Chengdu University of Traditional Chinese Medicine', 'Traditional Mongolian medicine', 'Moxibustion', 'Dry needling', 'Electroacupuncture', 'BDORT', 'Research Council for Complementary Medicine', 'Qi', 'Lingshu Jing', 'Quackery', 'History of science and technology in China', 'Mugwort', 'Wu Xing', 'Hua Tuo', 'Chinese Sign Language', 'Energy medicine', 'Canadian College of Naturopathic Medicine', 'Shennong', 'Friends of Science in Medicine', 'Emotional Freedom Techniques', 'Barefoot doctor', 'Naturopathy', 'Healthcare in China', 'Bloodletting', 'Traditional Cambodian medicine', 'Functional medicine', 'Ethnoveterinary medicine']",Acupuncture and Chinese Medicine
5,"['1537', '301719', '2122', '447382', '7738', '19139792', '5828', '1008510', '56511', '54509', '415674', '39480963', '6913403', '457921', '11286', '5138823', '14229', '42193218', '46105', '5040', '15627', '25572706', '1304321', '21137', '198618', '54077', '40253', '300181', '175216', '212698', '4279149', '13540478', '25806', '75649', '487090', '185713', '485405', '31178', '162921', '213788', '10515', '13639512', '3428890', '75378', '358890', '7124240', '3261719', '2333491', '2054502', '29163913', '390906']",,"['Colon cleansing', 'Mucoid plaque', 'Acupuncture', 'Ghost hunting', 'Human digestive system', 'Dialysis', 'Cupping therapy', 'Sauna', 'Quackery', 'Fruitarianism', 'Ear candling', 'Numerology', 'Astrology', 'Miracle Mineral Supplement', 'Ectomycorrhiza', 'Pseudohistory', 'Homeopathy', 'Tarot', 'Indigo children', 'Quantum mysticism', 'Chiropractic', 'Cryptozoology', 'Precognition', 'Ancient astronauts', 'Reincarnation', 'Perpetual motion', 'Pseudoarchaeology', 'Dowsing', 'Skeptical Inquirer', 'Orgone', 'Junk science', 'Energy medicine', 'Inedia', 'Superseded scientific theories', 'Bates method', 'Scientific racism', 'Trepanning', 'Radionics', 'Vertebral subluxation', 'Fringe science', 'Grey alien', 'Graphology', 'Extrasensory perception', 'Fringe theory', 'Megavitamin therapy', 'Nibiru cataclysm', 'Ufology', 'Odic force', 'Live blood analysis', 'Fuel saving device', 'Psychic archaeology']",Cleansing and Detoxification
6,"['21426459', '4421272', '1342299', '8774042', '2118246', '5065056', '80381', '25123709', '34817083', '12372971', '38045107', '19060295', '21021107', '2459566', '1810614', '8695082', '6142110', '3158172', '1465997', '3616449', '15459', '8053575', '1792494', '4850372', '1001165', '1704998', '520540', '18079605', '35319154', '2582128', '463734', '9819863', '2159778', '3875331', '35296365', '42378289', '11438176', '570661', '33583', '36282893', '18769343', '6189822', '17573654', '16872890', '1547057', '37063005', '32080545', '38846583', '384064', '7323614', '35484599', '351581', '36094374', '15588392', '6691129', '5001093', '6134342', '42676', '429680', '455909', '2497276', '8954400', '3069503', '33242852']",,"['Social determinants of health', 'Google Health', 'Public health', 'Health', 'Health professional', 'World Trade Center Health Program', 'Global health', 'Mine Safety and Health Administration', 'Maternal health', 'Occupational safety and health', 'Approved mental health professional', 'Social determinants of health in poverty', 'Diseases of affluence', 'Health education', 'Chronic condition', 'World Health Organization', 'Mental health law', 'Reproductive health', 'Health equity', 'International Statistical Classification of Diseases and Related Health Problems', 'Race and health', 'Health policy', 'Health coaching', 'Universal health care', 'Environmental health officer', 'Health care in the Palestinian territories', 'Health psychology', 'Primary healthcare', 'Medco Health Solutions', 'Suboptimal health', 'Mental Health Parity Act', 'Health Disparities Center', 'Health communication', 'Transitional care', 'National Institute for Occupational Safety and Health', 'Health belief model', 'Health visitor', 'Health promotion', 'Occupational health psychology', 'Health and wellbeing board', 'Rural health', 'The Health Lottery', 'Health Insurance Portability and Accountability Act', 'Health informatics', 'EHealth', 'Basic Occupational Health Services', 'GNU Health', 'Mental health professional', 'Mental health court', 'Mold health issues', 'Structural health monitoring', 'National Institute of Mental Health', 'Public health surveillance', 'Health risk assessment', 'Gender disparities in health', 'Academic health science centre', 'National Institute for Health and Care Excellence', 'Adolescent medicine', 'Medical underwriting', 'Effects of global warming on human health', 'Health advocacy', 'Health information on Wikipedia', 'Demographic and Health Surveys', 'Health blog']",Health Conditions
7,"['2530838', '1110291', '14170', '43456997', '2378970', '147473', '32690820', '25467671', '2846927', '17481462', '39312146']",,"['HIV vaccine', 'HIV', 'Subtypes of HIV', 'HIV and pregnancy', 'STDs in the porn industry', 'Criminal transmission of HIV', 'HIV disease progression rates', 'CDC classification system for HIV infection', 'Structure and genome of HIV', 'Tuberculosis in relation to HIV', 'National Latino AIDS Awareness Day']",AIDS and HIV
8,"['21591359', '12636107', '2225073', '391141', '44410', '236573', '1554770', '6317707', '679350', '1395311', '482709', '904954', '2015873', '55602', '2834063', '868970', '533143', '2143933', '54077637', '8805343', '9134346', '6945843']",,"['Food allergy', 'Egg allergy', 'Tree nut allergy', 'Peanut allergy', 'Skin allergy test', 'Dog food', 'Rhinitis', 'Antihistamine', 'Hypoallergenic dog breed', 'Food intolerance', 'Hives', 'Aeroallergen', 'Basophil', 'Talizumab', 'Radiocontrast agent', 'Rhinorrhea', 'Conjunctivitis', 'Goldendoodle', 'Dog skin disorders', 'Atopic dermatitis', 'Peanut', 'Side effects of penicillin']",Allergies
9,"['93842', '2425583', '4649353', '732438', '5329879', '324466', '619071', '25735155', '3852839', '1278527', '504841', '101965', '2812465', '593499', '25875', '546881', '1089772', '6173922', '9134392', '6840842']",,"['Septic arthritis', 'Rheumatoid arthritis', 'Juvenile idiopathic arthritis', 'Reactive arthritis', 'Osteoarthritis', 'Tocilizumab', 'Rheumatism', 'Etanercept', 'Limp', 'Citrullination', 'Synovial fluid', 'Psoriasis', 'Transient synovitis', 'Leflunomide', 'Knee pain', 'TNF inhibitor', 'Infliximab', 'Chondrocalcinosis', 'Autoimmunity', 'Hydrolyzed collagen']",Arthritis
