,Unnamed: 0,terms,titles,pageids
0,0,Arts and Entertainment,"['Entertainment', 'Outline of entertainment', 'Martial arts', 'Entertainment law', 'Parkwood Entertainment', 'Martial arts film', 'Entertainment district', 'Performing arts', 'Entertainment journalism', 'Microsoft Entertainment Pack']","['9262', '15052313', '15528045', '216003', '19501', '19028', '19360192', '9988', '35359699', '22938']"
1,1,Celebrities and Entertainment News,"['Celebrity', 'Entertainment journalism', 'Entertainment Weekly', 'News', 'E!', 'Outline of entertainment', 'Entertainment Spotlight', 'Celebrity branding', 'Naked News', 'Celebrities Uncensored', 'Dead Celebrities', 'Fake news', 'Celebrity Big Brother 6', 'Use of Twitter by public figures', 'Creation Entertainment', 'Celebrity photography', 'Famous for being famous', 'Gossip columnist', 'Press Association', 'Popstar!', 'Celebrity Juice', 'Boy Abunda', 'Celebrity Nightmares Decoded', 'Junk food news', 'KTLA Morning News', 'Pro TV']","['7466693', '342045', '5796', '20600357', '19798769', '28870380', '3740888', '2722576', '10569801', '1824987', '528107', '6031640', '541239', '15528045', '52881503', '9396685', '100065', '179491', '5631481', '21813', '20781999', '9988', '15851351', '1300449', '305651', '36007133']"
2,2,Comics and Animation,"['Flash animation', 'Comics', 'Disney Television Animation', 'Star Studded Comics', 'Gold Key Comics', 'The Animation Workshop', 'Adult animation', 'Floating timeline', 'The Cartoon Museum', 'LGBT themes in comics', 'Motion comic', 'Funny animal', 'Buichi Terasawa', 'Marvel CyberComics', 'Modern Age of Comic Books', 'Digital comic', 'Europe Comics']","['1939093', '1147630', '145443', '1918510', '2157619', '53326349', '1649198', '4709336', '19009024', '1267726', '4778050', '5524298', '1295181', '21891124', '7612235', '6974803', '4358628']"
3,3,Anime and Manga,"['Anime and manga fandom', 'Animerica', 'Manga cafe', 'Elfen Lied', 'Hoshin Engi']","['22330602', '924661', '1027922', '925115', '1024526']"
4,4,Cartoons,"['Cartoon', 'Cartoon pornography', 'International Holocaust Cartoon Competition', 'Cartoon physics', 'The Big Cartoon DataBase', 'Academy Award Review of Walt Disney Cartoons', 'Flash animation', 'Tiny Toon Adventures Cartoon Workshop', 'Cartoons Against Corruption', 'Cartoonist', 'Famous Studios', 'Animated series', 'Sports Cartoons', 'The Mumbly Cartoon Show', 'Center for Cartoon Studies', 'AKA Cartoon Network']","['11741097', '5079428', '235604', '7165', '538206', '3072072', '184579', '36197161', '1049702', '676076', '1649198', '6910706', '9120774', '25045704', '1531689', '706445']"
5,5,Comics,"['Comics', 'Comics studies', 'Horror comics', 'LGBT themes in comics', 'Adult comics', 'History of comics']","['2458703', '145443', '25151891', '23004919', '24479710', '4778050']"
6,6,Entertainment Industry,"['Outline of entertainment', 'Sex industry', 'Entertainment', 'Video game industry', 'Entertainment law', 'Family entertainment center', 'Entertainment journalism', 'Entertainment Merchants Association', 'Entertainment management', 'Entertainment industry during World War II', 'Music industry', 'Mobile entertainment', 'Cultural industry', 'ABC Entertainment', 'Film industry', 'Industry', 'E!', 'Quaternary sector of the economy', 'Acclaim Entertainment', 'PolyGram Entertainment', 'Computer Entertainment Rating Organization', 'Mystic Entertainment', 'GfK Entertainment Charts', 'Lionsgate Home Entertainment', 'STDs in the porn industry', 'Cavedog Entertainment', 'Light industry', 'Commonwealth United Entertainment', 'Hokkien entertainment media', 'Gaiam Vivendi Entertainment', 'Reliance Entertainment']","['2772172', '311490', '305598', '37085569', '1752591', '1152274', '528107', '9262', '6313394', '34202871', '15528045', '216003', '8957966', '2529054', '649481', '24620905', '6170448', '52625181', '14543', '1659180', '2772473', '14919220', '1946204', '42291975', '9988', '692891', '602616', '18100698', '25467671', '20603860', '372478']"
7,7,Film and TV Industry,"['Film industry', 'Television film', 'TV Parental Guidelines', 'Food industry', 'TV Guide', 'Film producer', 'Film distributor', 'Panafrican Film and Television Festival of Ouagadougou', 'Film promotion', 'Star Maa', 'Television', 'Short film', 'Film criticism', 'Music industry', 'The Bottle Yard Studios', 'TV Land', 'Sponsored film', 'StoryBoard Quick', 'Star Cinema']","['11065202', '1870213', '649481', '211405', '20460', '2437974', '1946204', '1830664', '498104', '11438604', '2652260', '11580743', '21272531', '188834', '783778', '2260940', '29831', '164342', '43999992']"
8,8,Film and TV Awards,"['Television film', '25th Academy Awards', 'PMPC Star Awards for Television', 'Udaya Film Awards', 'CAMIE Awards', 'National Film Award for Best Feature Film in Kannada']","['1625017', '17928876', '4744863', '29350604', '164342', '33892348']"
9,9,Film and TV Production,"['Kemps Film and TV Production Services Handbook', 'Production designer', 'Television film', 'Filmmaking', 'Film producer', 'The Bottle Yard Studios', 'Tsuburaya Productions', 'Television studio', 'Universal Television', 'Video production', 'Film still', 'National Film and Television School', 'DVD TV', 'Television program', 'Tiger Aspect Productions', 'Back to back film production', 'Television crew', 'Nu Boyana Film Studios', 'Playboy TV', 'Film finance', 'Short film']","['22428249', '21275172', '4447666', '211405', '5653527', '933117', '7757061', '408128', '6437494', '2447607', '555539', '498104', '2350364', '164342', '19508643', '1555089', '43999992', '1800164', '2040302', '959389', '1553972']"
